Unidade da Federação;Internações;mes;ano;mes_ano
31 Minas Gerais;1639;Jul;2008;2008-07-01
33 Rio de Janeiro;1326;Jul;2008;2008-07-01
26 Pernambuco;886;Jul;2008;2008-07-01
23 Ceará;1011;Jul;2008;2008-07-01
41 Paraná;633;Jul;2008;2008-07-01
15 Pará;794;Jul;2008;2008-07-01
43 Rio Grande do Sul;799;Jul;2008;2008-07-01
21 Maranhão;581;Jul;2008;2008-07-01
42 Santa Catarina;456;Jul;2008;2008-07-01
13 Amazonas;550;Jul;2008;2008-07-01
52 Goiás;318;Jul;2008;2008-07-01
25 Paraíba;344;Jul;2008;2008-07-01
22 Piauí;445;Jul;2008;2008-07-01
27 Alagoas;337;Jul;2008;2008-07-01
28 Sergipe;284;Jul;2008;2008-07-01
24 Rio Grande do Norte;188;Jul;2008;2008-07-01
32 Espírito Santo;254;Jul;2008;2008-07-01
53 Distrito Federal;397;Jul;2008;2008-07-01
51 Mato Grosso;223;Jul;2008;2008-07-01
50 Mato Grosso do Sul;212;Jul;2008;2008-07-01
17 Tocantins;151;Jul;2008;2008-07-01
16 Amapá;177;Jul;2008;2008-07-01
11 Rondônia;87;Jul;2008;2008-07-01
12 Acre;100;Jul;2008;2008-07-01
14 Roraima;107;Jul;2008;2008-07-01
35 São Paulo;3395;Ago;2008;2008-08-01
29 Bahia;2267;Ago;2008;2008-08-01
31 Minas Gerais;1730;Ago;2008;2008-08-01
33 Rio de Janeiro;1475;Ago;2008;2008-08-01
26 Pernambuco;1003;Ago;2008;2008-08-01
23 Ceará;1061;Ago;2008;2008-08-01
41 Paraná;707;Ago;2008;2008-08-01
15 Pará;766;Ago;2008;2008-08-01
43 Rio Grande do Sul;798;Ago;2008;2008-08-01
21 Maranhão;552;Ago;2008;2008-08-01
42 Santa Catarina;503;Ago;2008;2008-08-01
13 Amazonas;649;Ago;2008;2008-08-01
52 Goiás;362;Ago;2008;2008-08-01
25 Paraíba;459;Ago;2008;2008-08-01
22 Piauí;430;Ago;2008;2008-08-01
27 Alagoas;302;Ago;2008;2008-08-01
28 Sergipe;375;Ago;2008;2008-08-01
24 Rio Grande do Norte;231;Ago;2008;2008-08-01
32 Espírito Santo;296;Ago;2008;2008-08-01
53 Distrito Federal;334;Ago;2008;2008-08-01
51 Mato Grosso;244;Ago;2008;2008-08-01
50 Mato Grosso do Sul;233;Ago;2008;2008-08-01
17 Tocantins;174;Ago;2008;2008-08-01
16 Amapá;130;Ago;2008;2008-08-01
11 Rondônia;111;Ago;2008;2008-08-01
12 Acre;114;Ago;2008;2008-08-01
14 Roraima;70;Ago;2008;2008-08-01
35 São Paulo;3623;Set;2008;2008-09-01
29 Bahia;2403;Set;2008;2008-09-01
31 Minas Gerais;1751;Set;2008;2008-09-01
33 Rio de Janeiro;1270;Set;2008;2008-09-01
26 Pernambuco;1008;Set;2008;2008-09-01
23 Ceará;1002;Set;2008;2008-09-01
41 Paraná;671;Set;2008;2008-09-01
15 Pará;735;Set;2008;2008-09-01
43 Rio Grande do Sul;723;Set;2008;2008-09-01
21 Maranhão;498;Set;2008;2008-09-01
42 Santa Catarina;502;Set;2008;2008-09-01
13 Amazonas;554;Set;2008;2008-09-01
52 Goiás;423;Set;2008;2008-09-01
25 Paraíba;419;Set;2008;2008-09-01
22 Piauí;456;Set;2008;2008-09-01
27 Alagoas;303;Set;2008;2008-09-01
28 Sergipe;485;Set;2008;2008-09-01
24 Rio Grande do Norte;208;Set;2008;2008-09-01
32 Espírito Santo;306;Set;2008;2008-09-01
53 Distrito Federal;345;Set;2008;2008-09-01
51 Mato Grosso;237;Set;2008;2008-09-01
50 Mato Grosso do Sul;233;Set;2008;2008-09-01
